Fecha,Hora,Nivel_Escolar,Marca,Inventario_Inicial,Ventas,Inventario_Final
2025-08-01,9,Preescolar,SuperSchool,64,11,53
2025-08-01,9,Preescolar,SuperSchool,70,7,63
2025-08-01,9,Preescolar,EduMax,260,23,237
2025-08-01,9,Preescolar,TopKids,252,24,228
2025-08-01,9,Preescolar,SuperSchool,149,8,141
2025-08-01,9,Preescolar,TopKids,199,21,178
2025-08-01,9,Preescolar,EduMax,137,12,125
2025-08-01,9,Preescolar,EduMax,87,2,85
2025-08-01,9,Preescolar,SuperSchool,210,12,198
2025-08-01,9,Preescolar,EduMax,71,12,59
2025-08-01,9,Preescolar,SuperSchool,98,10,88
2025-08-01,9,Kínder,TopKids,239,15,224
2025-08-01,9,Kínder,EduMax,100,12,88
2025-08-01,9,Kínder,TopKids,293,3,290
2025-08-01,9,Kínder,SuperSchool,100,7,93
2025-08-01,9,Kínder,SuperSchool,122,7,115
2025-08-01,9,Kínder,EduMax,181,14,167
2025-08-01,9,Kínder,EduMax,299,9,290
2025-08-01,9,Kínder,EduMax,102,2,100
2025-08-01,9,Kínder,TopKids,237,7,230
2025-08-01,9,Kínder,SuperSchool,57,15,42
2025-08-01,9,Kínder,TopKids,255,17,238
2025-08-01,9,Kínder,EduMax,153,4,149
2025-08-01,9,Kínder,EduMax,183,22,161
2025-08-01,9,Kínder,EduMax,53,22,31
2025-08-01,9,Kínder,SuperSchool,240,18,222
2025-08-01,9,Kínder,EduMax,93,2,91
2025-08-01,9,Primaria 1°,EduMax,277,14,263
2025-08-01,9,Primaria 1°,TopKids,97,15,82
2025-08-01,9,Primaria 1°,EduMax,264,8,256
2025-08-01,9,Primaria 1°,SuperSchool,257,13,244
2025-08-01,9,Primaria 1°,EduMax,160,21,139
2025-08-01,9,Primaria 1°,EduMax,266,13,253
2025-08-01,9,Primaria 1°,SuperSchool,206,15,191
2025-08-01,9,Primaria 1°,SuperSchool,114,7,107
2025-08-01,9,Primaria 1°,SuperSchool,137,1,136
2025-08-01,9,Primaria 1°,TopKids,188,19,169
2025-08-01,9,Primaria 1°,SuperSchool,185,3,182
2025-08-01,9,Primaria 1°,TopKids,82,5,77
2025-08-01,9,Primaria 1°,EduMax,280,9,271
2025-08-01,9,Primaria 1°,TopKids,250,8,242
2025-08-01,9,Primaria 2°,EduMax,82,16,66
2025-08-01,9,Primaria 2°,TopKids,200,24,176
2025-08-01,9,Primaria 2°,SuperSchool,148,12,136
2025-08-01,9,Primaria 2°,EduMax,268,3,265
2025-08-01,9,Primaria 2°,SuperSchool,276,5,271
2025-08-01,9,Primaria 2°,TopKids,255,3,252
2025-08-01,9,Primaria 2°,SuperSchool,54,23,31
2025-08-01,9,Primaria 2°,TopKids,191,7,184
2025-08-01,9,Primaria 2°,TopKids,186,15,171
2025-08-01,9,Primaria 2°,TopKids,139,10,129
2025-08-01,9,Primaria 2°,SuperSchool,228,7,221
2025-08-01,9,Primaria 2°,SuperSchool,101,4,97
2025-08-01,9,Primaria 2°,EduMax,278,23,255
2025-08-01,9,Primaria 2°,TopKids,286,15,271
2025-08-01,9,Primaria 2°,TopKids,78,4,74
2025-08-01,9,Primaria 2°,SuperSchool,209,7,202
2025-08-01,9,Primaria 3°,TopKids,135,2,133
2025-08-01,9,Primaria 3°,EduMax,94,21,73
2025-08-01,9,Primaria 3°,EduMax,77,12,65
2025-08-01,9,Primaria 3°,EduMax,239,11,228
2025-08-01,9,Primaria 3°,EduMax,296,7,289
2025-08-01,9,Primaria 3°,EduMax,274,1,273
2025-08-01,9,Primaria 3°,SuperSchool,76,20,56
2025-08-01,9,Primaria 3°,SuperSchool,282,3,279
2025-08-01,9,Primaria 3°,TopKids,247,8,239
2025-08-01,9,Primaria 3°,TopKids,186,5,181
2025-08-01,9,Primaria 3°,SuperSchool,100,10,90
2025-08-01,9,Primaria 3°,TopKids,108,22,86
2025-08-01,9,Primaria 3°,SuperSchool,229,17,212
2025-08-01,9,Primaria 3°,EduMax,290,20,270
2025-08-01,9,Primaria 3°,EduMax,88,2,86
2025-08-01,9,Primaria 4°,SuperSchool,150,17,133
2025-08-01,9,Primaria 4°,SuperSchool,236,17,219
2025-08-01,9,Primaria 4°,EduMax,179,22,157
2025-08-01,9,Primaria 4°,TopKids,278,1,277
2025-08-01,9,Primaria 4°,SuperSchool,196,2,194
2025-08-01,9,Primaria 4°,SuperSchool,221,6,215
2025-08-01,9,Primaria 4°,TopKids,117,23,94
2025-08-01,9,Primaria 5°,TopKids,194,6,188
2025-08-01,9,Primaria 5°,SuperSchool,165,2,163
2025-08-01,9,Primaria 5°,EduMax,263,11,252
2025-08-01,9,Primaria 5°,TopKids,289,16,273
2025-08-01,9,Primaria 5°,SuperSchool,250,6,244
2025-08-01,9,Primaria 5°,SuperSchool,52,20,32
2025-08-01,9,Primaria 5°,TopKids,213,19,194
2025-08-01,9,Primaria 5°,EduMax,244,19,225
2025-08-01,9,Primaria 5°,TopKids,101,9,92
2025-08-01,9,Primaria 5°,SuperSchool,217,7,210
2025-08-01,9,Primaria 5°,EduMax,153,1,152
2025-08-01,9,Primaria 5°,TopKids,269,18,251
2025-08-01,9,Primaria 5°,TopKids,208,10,198
2025-08-01,9,Primaria 5°,TopKids,56,16,40
2025-08-01,9,Primaria 5°,EduMax,161,20,141
2025-08-01,9,Primaria 6°,SuperSchool,51,1,50
2025-08-01,9,Primaria 6°,EduMax,189,5,184
2025-08-01,9,Primaria 6°,SuperSchool,209,23,186
2025-08-01,9,Primaria 6°,SuperSchool,282,3,279
2025-08-01,9,Primaria 6°,TopKids,97,16,81
2025-08-01,9,Primaria 6°,TopKids,197,24,173
2025-08-01,9,Primaria 6°,EduMax,169,1,168
2025-08-01,9,Primaria 6°,TopKids,162,8,154
2025-08-01,9,Primaria 6°,EduMax,153,20,133
2025-08-01,9,Primaria 6°,EduMax,276,16,260
2025-08-01,9,Primaria 6°,EduMax,266,3,263
2025-08-01,9,Primaria 6°,SuperSchool,142,18,124
2025-08-01,9,Primaria 6°,EduMax,131,2,129
2025-08-01,9,Primaria 6°,EduMax,212,16,196
2025-08-01,9,Primaria 6°,SuperSchool,218,4,214
2025-08-01,9,Primaria 6°,SuperSchool,117,1,116
2025-08-01,10,Preescolar,SuperSchool,97,20,77
2025-08-01,10,Preescolar,TopKids,244,17,227
2025-08-01,10,Preescolar,SuperSchool,225,12,213
2025-08-01,10,Preescolar,TopKids,164,22,142
2025-08-01,10,Preescolar,TopKids,71,14,57
2025-08-01,10,Preescolar,EduMax,87,6,81
2025-08-01,10,Preescolar,SuperSchool,100,22,78
2025-08-01,10,Preescolar,TopKids,76,2,74
2025-08-01,10,Preescolar,SuperSchool,79,1,78
2025-08-01,10,Preescolar,TopKids,241,1,240
2025-08-01,10,Preescolar,SuperSchool,110,16,94
2025-08-01,10,Preescolar,TopKids,53,3,50
2025-08-01,10,Preescolar,SuperSchool,66,12,54
2025-08-01,10,Preescolar,EduMax,270,14,256
2025-08-01,10,Preescolar,SuperSchool,55,3,52
2025-08-01,10,Preescolar,SuperSchool,86,24,62
2025-08-01,10,Preescolar,SuperSchool,290,14,276
2025-08-01,10,Preescolar,SuperSchool,144,3,141
2025-08-01,10,Kínder,SuperSchool,165,21,144
2025-08-01,10,Kínder,TopKids,210,3,207
2025-08-01,10,Kínder,EduMax,74,10,64
2025-08-01,10,Kínder,TopKids,103,3,100
2025-08-01,10,Kínder,EduMax,73,18,55
